"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
1364,"OK",9300,"10/10/15","Theft","Laptop","No"
1365,"AZ",8208,"10/15/15","Theft","Other Portable Electronic Device","No"
1366,"AR",1260,"10/16/15","Unauthorized Access/Disclosure","Email","No"
1367,"TX",11100,"10/16/15","Hacking/IT Incident","Network Server","No"
1368,"NY",1581,"10/19/15","Theft","Laptop","No"
1369,"FL",835,"10/19/15","Unauthorized Access/Disclosure","Paper/Films","No"
1370,"NC",1615,"10/19/15","Hacking/IT Incident","Email","No"
1371,"TX",1134,"10/20/15","Theft","Other","No"
1372,"CA",4300,"10/20/15","Unauthorized Access/Disclosure","Laptop, Other Portable Electronic Device","No"
1373,"OK",4500,"10/22/15","Hacking/IT Incident","Email","No"
1374,"OH",540,"10/23/15","Unauthorized Access/Disclosure","Paper/Films","Yes"
1375,"FL",500,"10/23/15","Unauthorized Access/Disclosure","Paper/Films","No"
1376,"SC",1997,"10/26/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1377,"TX",16000,"10/28/15","Unauthorized Access/Disclosure","Desktop Computer","No"
1378,"AL",1680,"10/28/15","Theft","Laptop","No"
1379,"IL",1529,"11/6/15","Unauthorized Access/Disclosure","Paper/Films","No"
1380,"WI",960,"11/11/15","Loss","Paper/Films","No"
1381,"NY",2300,"11/12/15","Hacking/IT Incident","Desktop Computer","No"
1382,"NC",524,"11/13/15","Unauthorized Access/Disclosure","Email","No"
1383,"KY",84681,"11/13/15","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device","No"
1384,"WA",1300,"11/13/15","Theft","Laptop","No"
1385,"SC",3902,"11/13/15","Hacking/IT Incident","Network Server","Yes"
1386,"OH",1064,"11/14/15","Unauthorized Access/Disclosure","Email","No"
1387,"AK",553,"11/19/15","Theft","Email","No"
1388,"CT",592,"11/23/15","Unauthorized Access/Disclosure","Paper/Films","No"
1389,"AL",986,"11/24/15","Theft","Laptop","No"
1390,"TX",1500,"11/30/15","Theft","Laptop","No"
1391,"WA",1407,"11/30/15","Unauthorized Access/Disclosure","Other","No"
1392,"IL",2929,"12/1/15","Unauthorized Access/Disclosure","Paper/Films","No"
1393,"CA",11000,"12/1/15","Unauthorized Access/Disclosure","Network Server","No"
1394,"CO",827,"12/2/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1395,"NE",1872,"12/3/15","Unauthorized Access/Disclosure","Paper/Films","No"
1396,"AZ",810,"12/3/15","Unauthorized Access/Disclosure","Paper/Films","No"
1397,"CT",946,"12/4/15","Hacking/IT Incident","Email","No"
1398,"ME",500,"12/8/15","Hacking/IT Incident","Network Server","No"
1399,"NY",14910,"12/11/15","Unauthorized Access/Disclosure","Email","Yes"
1400,"OR",5327,"12/11/15","Theft","Desktop Computer, Paper/Films","No"
1401,"NM",561,"12/15/15","Theft","Laptop","No"
1402,"NY",687,"12/15/15","Unauthorized Access/Disclosure","Paper/Films","No"
